Plan_Size,Storeys,Soil_Profile,Roof_Displacement_mm,Storey_Drift_mm,Beam_Bending_Moment_kNm,Column_Axial_Force_kN,Base_Shear_kN,Bay_Number,Height_m,Aspect_Ratio
4x4,4.0,FBLS,27.88,7.19,29.15,76.0,672.33,4.0,12.0,3.0
4x4,4.0,SFLD1,52.3,10.46,46.49,79.32,413.68,4.0,12.0,3.0
4x4,4.0,SFLD2,52.3,10.46,46.49,79.32,413.68,4.0,12.0,3.0
4x4,4.0,MHMD1,52.3,10.46,46.49,79.32,413.68,4.0,12.0,3.0
4x4,4.0,MHMD2,46.14,9.41,45.33,80.38,420.02,4.0,12.0,3.0
4x4,4.0,HBLD1,46.14,9.41,45.33,80.38,420.02,4.0,12.0,3.0
4x4,4.0,HBLD2,29.37,7.3,29.04,93.98,638.79,4.0,12.0,3.0
4x4,6.0,FBLS,38.01,7.27,29.0,77.96,650.62,4.0,18.0,4.5
4x4,6.0,SFLD1,103.92,15.33,44.44,89.65,496.67,4.0,18.0,4.5
4x4,6.0,SFLD2,103.92,15.33,44.44,89.65,496.67,4.0,18.0,4.5
4x4,6.0,MHMD1,103.92,15.33,44.44,89.65,496.67,4.0,18.0,4.5
4x4,6.0,MHMD2,89.2,13.41,43.59,90.36,496.67,4.0,18.0,4.5
4x4,6.0,HBLD1,89.2,13.41,43.59,90.36,496.67,4.0,18.0,4.5
4x4,6.0,HBLD2,40.58,7.47,29.78,95.15,615.07,4.0,18.0,4.5
4x4,8.0,FBLS,48.85,7.21,28.68,79.93,625.15,4.0,24.0,6.0
4x4,8.0,SFLD1,186.15,21.47,46.92,94.84,579.67,4.0,24.0,6.0
4x4,8.0,SFLD2,186.15,21.47,46.92,94.84,579.67,4.0,24.0,6.0
4x4,8.0,MHMD1,186.15,21.47,46.92,94.84,579.67,4.0,24.0,6.0
4x4,8.0,MHMD2,158.41,18.56,46.11,95.33,579.67,4.0,24.0,6.0
4x4,8.0,HBLD1,158.41,18.56,46.11,95.33,579.67,4.0,24.0,6.0
4x4,8.0,HBLD2,52.8,7.5,29.73,96.46,586.89,4.0,24.0,6.0
4x4,10.0,FBLS,65.54,7.87,29.21,81.69,662.66,4.0,30.0,7.5
4x4,10.0,SFLD1,303.53,28.65,50.93,97.97,662.66,4.0,30.0,7.5
4x4,10.0,SFLD2,303.53,28.65,50.93,97.97,662.66,4.0,30.0,7.5
4x4,10.0,MHMD1,303.53,28.65,50.93,97.97,662.66,4.0,30.0,7.5
4x4,10.0,MHMD2,256.64,24.57,50.28,98.33,662.66,4.0,30.0,7.5
4x4,10.0,HBLD1,256.64,24.57,50.28,98.33,662.66,4.0,30.0,7.5
4x4,10.0,HBLD2,76.91,8.88,31.98,97.26,662.66,4.0,30.0,7.5
4x4,12.0,FBLS,89.75,9.01,30.37,83.34,745.65,4.0,36.0,9.0
4x4,12.0,SFLD1,461.16,36.72,54.72,99.98,745.65,4.0,36.0,9.0
4x4,12.0,SFLD2,461.16,36.72,54.72,99.98,745.65,4.0,36.0,9.0
4x4,12.0,MHMD1,461.16,36.72,54.72,99.98,745.65,4.0,36.0,9.0
4x4,12.0,MHMD2,387.98,31.29,54.17,100.26,745.65,4.0,36.0,9.0
